type,timestamp,price,quantity,cost,balance,revenue,profit,profit_pct
SELL,2025-07-16 22:41:00,712.54,0.06450849883609308,,48.29592416635288,45.91892087490909,-0.07289460368478488,-0.1583364860509753
BUY,2025-07-16 23:30:00,707.75,0.06482674384745353,45.92700908599327,2.3689150803596135,,,
SELL,2025-07-16 23:39:00,708.31,0.06482674384745353,,48.240428584014836,45.87151350365522,0.03630297655457044,0.07912398445778106
BUY,2025-07-16 23:45:00,708.01,0.06472847439275448,45.8742355619689,2.366193022045934,,,
SELL,2025-07-16 23:55:00,707.8,0.06472847439275448,,48.13519238306235,45.76899936101642,-0.013592979622480794,-0.02966059801415748
BUY,2025-07-17 00:03:00,709.54,0.06444799837064752,45.77416119667314,2.361031186389212,,,
SELL,2025-07-17 01:03:00,716.5,0.06444799837064752,,48.49184502812559,46.130813841736376,0.4485580686597091,0.9809172139696194
BUY,2025-07-17 01:07:00,720.25,0.06396008715962416,46.113320029496016,2.3785249986295725,,,
SELL,2025-07-17 01:24:00,715.43,0.06396008715962416,,48.091731190082875,45.7132061914533,-0.30828762010939165,-0.6692120791391947
BUY,2025-07-17 02:01:00,712.5,0.06412230825344384,45.73283177520931,2.3588994148735623,,,
SELL,2025-07-17 02:41:00,720.37,0.06412230825344384,,48.50449482421037,46.145595409336806,0.5046425659546033,1.1045614035087725
BUY,2025-07-17 04:00:00,709.22,0.06497175782267822,46.12534935308284,2.3791454711275293,,,
SELL,2025-07-17 04:09:00,709.72,0.06497175782267822,,48.44478967707681,46.06564420594928,0.03248587891133911,0.07049998590000282
BUY,2025-07-17 04:15:00,709.36,0.06487897568684867,46.06857274341619,2.376216933660622,,,
SELL,2025-07-17 04:28:00,709.82,0.06487897568684867,,48.38255906117751,46.00634212751689,0.029844328815952746,0.06484718619601279
BUY,2025-07-17 04:31:00,710.1,0.06472811027759279,46.009394539226754,2.3731645219507556,,,
SELL,2025-07-17 04:53:00,710.0,0.06472811027759279,,48.284165860744544,45.91100133879379,-0.0064728110277607505,-0.014082523588230212
BUY,2025-07-17 04:56:00,710.98,0.06451652306352826,45.91582752527503,2.3683383354695167,,,
SELL,2025-07-17 05:07:00,708.84,0.06451652306352826,,48.05449865161254,45.686160316143024,-0.1380653593559496,-0.3009929955835588
BUY,2025-07-17 05:27:00,709.04,0.06438532906328544,45.69742549275093,2.35707315886161,,,
SELL,2025-07-17 06:17:00,710.85,0.06438532906328544,,48.07961601233343,45.72254285347182,0.11653744560455045,0.25527473767348235
BUY,2025-07-17 06:27:00,716.49,0.06374915939052431,45.72131084692847,2.358305165404964,,,
SELL,2025-07-17 06:50:00,720.72,0.06374915939052431,,48.257654027187705,45.89934886178274,0.269658944221919,0.5903780932043738
BUY,2025-07-17 06:52:00,720.5,0.06362910662849176,45.890616097154144,2.367037930033561,,,
SELL,2025-07-17 06:56:00,720.09,0.06362910662849176,,48.13990263875208,45.77286470871852,-0.026087933717679597,-0.056904927133930354
BUY,2025-07-17 07:38:00,718.03,0.06369219601801383,45.77864041432128,2.361262224430803,,,
SELL,2025-07-17 08:14:00,719.8,0.06369219601801383,,48.16105927550339,45.79979705107259,0.11273518695188332,0.24650780608052336
BUY,2025-07-17 08:44:00,716.4,0.06386516793931912,45.79875931803994,2.362299957463449,,,
